"ID","text","label",,"Comments",,"B",,"Set","Claim Count",,,,,"regex match",,,,,,,,,,,,,,
1,"The Benghazi probe is ""the longest-running congressional investigation ever.""","quantity",,,,,,"Set 1",0,,,,,"FALSE",,,,,,,,,,,,,,
2,"In 2006, Planned Parenthood performed more prevention services and cancer screenings than abortions, but in 2013, there were more abortions.","quantity",,,,,,"Set 2",185,,,,,"FALSE",,,,,,,,,,,3607,,,
3,"""Unlike virtually every other campaign, we don't have a super PAC.""","misc",,,,,,"Set 3",148,,,,"#REF!","FALSE",,,,,,,,,,,,,,
4,"The unemployment rate may be as high as 42 percent.","quantity",,,,,,"Set 4",13,,,,,"FALSE",,,,,,,,,,,,,,
5,"""When I left Washington, we had a $5 trillion surplus.""","quantity",,,,,,"Set 5",152,,,,,"FALSE",,,,,,,,,,,,,,
6,"""There's no money"" for Planned Parenthood in the bill that would keep the government open.","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
7,"The largest low-wage employer ""is not McDonalds or Walmart but the U.S. government.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
8,"""We've had examples like in Yuma County, where we've been able to stop 97 percent of the illegal (immigration) flow, and those programs, they abolish.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
9,"The tax policies of George W. Bush ""created a dynamic effect of high growth.""","action",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
10,"There is not ""one of the Muslim nations"" that doesn't have ""discrimination against women, discrimination against gays, subjugation of other religious beliefs.""","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
11,"""When (Ronald) Reagan came in, from 1978 to 1982, economic growth averaged less than 1 percent a year. There's only one other four-year period where that's true. That's true from 2008 to 2012.""","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
12,"""The birther movement was started by Hillary Clinton in 2008. She was all in!""","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
13,"Says ""the cascading effects"" of climate change contributed to the rise of ISIS.","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
14,"""Under Republicans, recessions happen four times as frequently as under Democrats.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
15,"Says Bernie Sanders opposes ""requiring all children to have a K-12 education.""","action",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
17,"Says Donald Trump was ""forced to file for bankruptcy not once, not twice, four times.""","action",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
18,"""We had a three-hour debate, no discussion about the national debt, very little about the economy.""","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
19,"""There's never been a direct Supreme Court case on people who were here illegally, whether or not their kids are citizens.""","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
20,"""You know our current president is (Muslim). You know he's not even an American.""","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
21,"""I'm the only (Republican) candidate that has actually reduced the size of government.""","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
22,"""Saudi Arabia has the third-largest military budget in the entire world.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
23,"""We're the most highly taxed nation in the world.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
24,"""Our companies are moving into Mexico more than almost any other place right now.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
25,"Planned Parenthood is ""not actually doing women's health issues.""","action",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
26,"""Many of the great scholars say that anchor babies are not covered"" by the 14th Amendment.","action",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
27,"Says ""there's 400,000"" anchor babies born in the United States a year, which are ""individuals coming to our country and having their children so their children can be U.S. citizens.""","action",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
28,"Says ""56 percent of (the U.S.-Mexico) border is not under our control.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
29,"""If I had not asked for my emails all to be made public, none of this would have been in the public arena.""","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
30,"""There's not a single, solitary example that"" signing the bill to end Glass-Steagall ""had anything to do with the financial crash.""","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
31,"""The annual cost of free tax credits alone paid to illegal immigrants quadrupled to $4.2 billion in 2011.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
32,"""You're more likely to get struck by lightning in Texas"" than find in-person voter fraud.","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
33,"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
34,"The number of people who ""believe in socialism ... is increasing.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
35,"Says ""if the (Iran nuclear) deal gets rejected, they still get"" $150 billion.","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
36,"""We spend almost twice as much per capita on health care as do the people of any other country.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
37,"""F: The grade given to Florida for college affordability under Jeb Bush's leadership.""","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
38,"There has been a 100 percent ""increase in student debt under this Democratic White House.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
39,"""One of the reasons that Social Security is in so much trouble is that the only funding stream comes from people who get a wage. The people who get wages is declining dramatically.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
40,"""Over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out since Dodd-Frank has passed.""","quantity",,,,"Observation","(speaker,”40_percent_small_midsize_banks_loan_money_small_businesses_wiped_out”,NULL,“doddfrank”)",,,,,,,"FALSE",,,,,,,,,,,,,,
41,"Says Donald Trump has ""changed his mind"" on abortion.","action",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
42,"""Every poll said I won the debate.""","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
43,"""African-American children are 500 percent more likely to die from asthma than white kids.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
45,"""Some of the things that (Megyn Kelly) said, I didn't say.""","misc",,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Says he was ""one of the chief architects"" of balancing the federal budget.","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
48,"""A majority of the candidates on this stage have supported amnesty ... I have never supported amnesty.""","action",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
49,"""The Fourth Amendment was what we fought the Revolution over. John Adams said it was the spark that led to our war for independence.""","action",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
50,"Says Hillary Clinton has ""been in office and in government longer than anybody else running here tonight.""","quantity",,,,,"recurring action",,,,,,,"FALSE",,,,,,,,,,,,,,
51,"""$700 billion was robbed (from Medicare) to pay for Obamacare.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
52,"Illegal immigration ""wasn't a subject that was on anybody's mind until I brought it up at my announcement.""","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
53,"""I took the state of Ohio from an $8 billion hole … to a $2 billion surplus.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
54,"""The Mexican government ... they send the bad ones over.""","action",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
55,"""The stock market does better when you have a Democratic president in the White House.""","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
56,"Say President George W. Bush "" ‘borrowed' $1.37 trillion of Social Security surplus revenue to pay for his tax cuts for the rich and his war in Iraq and never paid it back.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
57,"""97 percent of the work that Planned Parenthood does is about mammograms and preventative health.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
58,"Says Donald Trump is for a single-payer health care system.","action",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
59,"Under President Barack Obama, income levels and unemployment numbers ""are worse now than just about ever"" for African-Americans.","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
60,"Planned Parenthood is ""the only health care that a significant number of women get. About 30 percent of women, that's their health care.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
61,"""We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.""","action",,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,
62,"Says Hillary Clinton ""refuses to testify before Congress"" about the 2012 attack in Benghazi.","action",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
63,"""Obama Makes Huge Move to BAN Social Security Recipients From Owning Guns""","action",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
64,"""The economy, by every metric, is better than when I came into office.""","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
65,"Since 2009, ""we've cut homelessness (among veterans) by a third.""","quantity",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
66,"""(Hillary Clinton's State Department) actually admonished one of her ambassadors because he wasn't using the proper server.""","action",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
67,"The five Guantanamo detainees swapped for Bowe Bergdahl ""are right now back on the battlefield.""","misc",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
68,"President Barack Obama ""said at the beginning of the negotiations that the basic approach was to dismantle Iran's nuclear program in exchange for dismantling the sanctions.""","action",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
69,"""We borrow a million dollars every minute.""","action",,,,,,,,,,,,"FALSE",,,,,,,,,,,,,,
